200	1	1	4	1	3	1	1	3	4	0	1	40	1	US
201	4	4	2	4	1	4	3	2	1	1	2	28	1	SI
202	0	3	2	2	2	3	2	4	4	4	2	22	1	US
203	3	3	3	3	2	2	2	3	2	2	2	29	3	GB
204	3	2	1	3	3	3	4	3	3	2	2	17	1	US
205	1	1	1	1	1	1	1	1	1	1	2	40	3	HK
206	3	3	3	2	2	2	1	3	3	3	2	21	3	CA
207	3	3	2	4	2	3	3	2	2	1	2	26	1	US
208	3	3	2	2	2	3	3	3	4	4	1	38	1	US
209	3	2	2	3	0	3	0	3	2	0	2	23	3	HK
210	3	3	3	4	4	2	1	3	3	3	1	31	1	US
211	4	4	3	3	3	3	2	3	3	3	1	54	1	EU
212	4	4	1	3	4	3	3	3	1	1	2	52	3	CA
213	3	3	2	3	3	2	2	4	3	3	2	25	3	RO
214	3	4	1	3	1	3	4	1	1	1	2	20	3	US
215	4	4	1	4	1	3	4	2	2	1	2	59	3	US
216	4	4	2	4	2	3	3	2	3	1	1	24	3	CA
217	4	4	2	3	2	3	3	1	2	2	1	47	3	US
218	4	4	1	4	1	4	4	1	1	1	2	44	3	GB
219	3	3	2	4	3	3	2	2	1	2	1	42	1	US
220	4	4	2	3	3	4	4	2	1	1	1	53	3	GB
221	4	4	1	3	1	4	4	2	1	1	2	22	3	CA
222	4	4	2	3	1	3	4	3	3	2	2	21	3	PK
223	4	4	2	4	2	3	2	4	2	2	1	12	3	PK
224	4	4	1	2	2	3	3	2	2	2	1	45	3	PK
225	3	3	3	3	3	2	2	4	4	3	2	21	3	GB
226	3	3	3	4	2	2	1	2	3	2	1	24	1	US
227	3	3	1	3	2	3	2	2	1	1	2	14	3	US
228	4	4	1	3	1	3	3	2	1	1	2	14	3	US
229	1	2	3	4	1	1	2	3	3	3	2	25	1	US
230	3	3	4	3	4	1	1	4	4	4	1	47	3	LU
231	4	1	1	3	2	3	3	1	2	1	2	49	1	CL
232	2	2	4	2	3	1	1	3	3	3	1	25	1	GB
233	2	3	3	2	4	2	2	4	4	4	1	18	3	US
234	3	3	2	3	2	3	3	3	3	3	2	27	1	US
235	4	4	1	4	1	4	4	2	1	1	2	34	3	US
236	3	3	2	3	2	4	3	3	3	3	1	36	1	SG
